longitude latitude strat_old strat_young file_name
15.092 -19.687 -600.00 -450.00 "NAMIBIA_MTX/11-10-97-4.mtx"
15.333 -19.796 -600.00 -450.00 "NAMIBIA_MTX/11-10-97-5.mtx"
14.532 -21.191 -135.00 -130.00 "NAMIBIA_MTX/12-4-96-1.mtx"
14.529 -21.193 -135.00 -130.00 "NAMIBIA_MTX/12-4-96-2.mtx"
14.527 -21.195 -135.00 -130.00 "NAMIBIA_MTX/12-4-96-3.mtx"
14.517 -21.222 -135.00 -130.00 "NAMIBIA_MTX/12-4-96-4.mtx"
14.517 -21.222 -135.00 -130.00 "NAMIBIA_MTX/12-4-96-5.mtx"
14.511 -21.233 -135.00 -130.00 "NAMIBIA_MTX/13-4-96-1.mtx"
14.458 -21.273 -135.00 -130.00 "NAMIBIA_MTX/13-4-96-2.mtx"
14.206 -21.435 -135.00 -130.00 "NAMIBIA_MTX/13-4-96-6.mtx"
16.573 -21.514 -600.00 -450.00 "NAMIBIA_MTX/14-9-98-6.mtx"
14.896 -22.196 -600.00 -450.00 "NAMIBIA_MTX/17-9-96-9.mtx"
16.873 -21.759 -600.00 -450.00 "NAMIBIA_MTX/17-10-97-1.mtx"
16.886 -20.514 -600.00 -450.00 "NAMIBIA_MTX/17-10-97-2.mtx"
16.985 -20.512 -600.00 -450.00 "NAMIBIA_MTX/17-10-97-3.mtx"
16.165 -21.755 -600.00 -450.00 "NAMIBIA_MTX/18-10-97-4.mtx"
17.597 -22.434 -600.00 -450.00 "NAMIBIA_MTX/20-9-97-1.mtx"
17.552 -22.337 -600.00 -450.00 "NAMIBIA_MTX/20-9-97-2.mtx"
17.496 -22.341 -600.00 -450.00 "NAMIBIA_MTX/20-9-97-3.mtx"
17.377 -22.624 -600.00 -450.00 "NAMIBIA_MTX/21-9-97-1.mtx"
17.415 -22.679 -600.00 -450.00 "NAMIBIA_MTX/21-9-97-2.mtx"
17.443 -22.756 -600.00 -450.00 "NAMIBIA_MTX/21-9-97-3.mtx"
17.053 -22.338 -600.00 -450.00 "NAMIBIA_MTX/21-10-97-1.mtx"
17.070 -22.267 -600.00 -450.00 "NAMIBIA_MTX/21-10-97-2.mtx"
17.073 -22.272 -600.00 -450.00 "NAMIBIA_MTX/21-10-97-3.mtx"
17.071 -22.278 -600.00 -450.00 "NAMIBIA_MTX/21-10-97-4.mtx"
17.069 -22.288 -600.00 -450.00 "NAMIBIA_MTX/21-10-97-5.mtx"
